Titre,Auteur,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
Qui annule quoi ?,Laure Murat,Française,9782021495805,7,14,2025,2025-07-14T00:00:00Z,7,14,2025,2025-07-14T00:00:00Z,0,F,Ebook,48,Seuil
Babel,R. F. Kuang,Chinoise,9782378763572,7,15,2025,2025-07-15T00:00:00Z,8,11,2025,2025-11-08T00:00:00Z,27,F,Ebook,768,De Saxus
Le Goût âpre des kakis,Zoyâ Pirzâd,Iranienne,9791038701021,7,15,2025,2025-07-15T00:00:00Z,7,21,2025,2025-07-21T00:00:00Z,6,F,Ebook,224,Zulma
J’ai toujours ton coeur avec moi,Soffía Bjarnadóttir,Islandaise,9782843047640,7,22,2025,2025-07-22T00:00:00Z,7,24,2025,2025-07-24T00:00:00Z,2,F,Ebook,144,Zulma
Le Sabbat des sorcières,Carlo Ginzburg,Italienne,9782072971419,8,2,2025,2025-02-08T00:00:00Z,8,24,2025,2025-08-24T00:00:00Z,22,M,Ebook,704,Gallimard
C’est moi qui éteint les lumières,Zoyâ Pirzâd,Iranienne,9782843046421,8,17,2025,2025-08-17T00:00:00Z,8,21,2025,2025-08-21T00:00:00Z,4,F,Ebook,288,Zulma
Enfance,Tove Ditlevsen,Danoise,9782383612551,8,11,2025,2025-11-08T00:00:00Z,8,13,2025,2025-08-13T00:00:00Z,2,F,Ebook,160,Globe
Jeunesse,Tove Ditlevsen,Danoise,9782383612605,8,13,2025,2025-08-13T00:00:00Z,8,17,2025,2025-08-17T00:00:00Z,4,F,Ebook,208,Globe
La nuit la neige,Claude Pujade-Renaud,Française,9782742708697,8,22,2025,2025-08-22T00:00:00Z,9,8,2025,2025-08-09T00:00:00Z,17,F,Ebook,464,Actes Sud
Les Colonnes infernales,Anne Rolland-Boulestreau,Française,9782213681511,8,24,2025,2025-08-24T00:00:00Z,9,11,2025,2025-11-09T00:00:00Z,18,F,Ebook,336,Fayard
On s’y fera,Zoyâ Pirzâd,Iranienne,9782843044229,9,11,2025,2025-11-09T00:00:00Z,9,23,2025,2025-09-23T00:00:00Z,12,F,Ebook,336,Zulma
Pythéas,François Herbaux,Française,9782251455280,9,12,2025,2025-12-09T00:00:00Z,9,20,2025,2025-09-20T00:00:00Z,8,M,Broché,258,Belles lettre
