Titre,QID_ouvrage,Auteur,image,QID_Auteur,pays de nationalité,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
Les imaginaires numériques au musée ?,,Eva Sandri,,Q130601184,,Française,9791092305647,1,6,2021,2021-01-06T00:00:00Z,1,8,2021,2021-01-08T00:00:00Z,2,F,Broché,124,MkF Éditions
Le mirage numérique,Q63952801,Evgeny Morozov,Wer kann die neue Zukunft machen? (17333061348).jpg,Q93054,Biélorussie,Biélorusse,9782350961132,10,18,2020,2020-10-18T00:00:00Z,10,20,2020,2020-10-20T00:00:00Z,2,M,Broché,144,Les Prairies Ordinaires
Jean des bandes noires,,Florence Alazard,,Q49164033,,Française,9782379338656,8,16,2023,2023-08-16T00:00:00Z,8,19,2023,2023-08-19T00:00:00Z,3,F,Ebook,248,Passés composés
Le quai de Ouistream,,Florence Aubenas,FIG 2015 - Florence Aubenas 03.jpg,Q446723,France,Française,9782879296777,12,13,2020,2020-12-13T00:00:00Z,12,16,2020,2020-12-16T00:00:00Z,3,F,Ebook,276,L’Olivier
Les masques et la mosquée,,François-Xavier Fauvelle,François Xavier Fauvelle 01593.jpg,Q24939907,France,Française,9782271143709,9,26,2022,2022-09-26T00:00:00Z,10,9,2022,2022-10-09T00:00:00Z,13,M,Ebook,400,CNRS édition
Féminisme décolonial,,Françoise Vergès,W2439-TableRonde TraiteEsclavageRacisme FrancoiseVerges Crop 6089.JPG,Q3086620,France,Française,9782358721745,4,14,2020,2020-04-14T00:00:00Z,4,15,2020,2020-04-15T00:00:00Z,1,F,Ebook,208,La Fabrique
Décolonisons les arts!,,"Françoise Vergès, Leïla Cukierman,  Gerty Dambury",,,,Française,9782851819451,3,27,2021,2021-03-27T00:00:00Z,3,29,2021,2021-03-29T00:00:00Z,2,F,Broché,144,L'Arche
Une femme à contre-jour,,Gaëlle Josse,Gaëlle Josse-FIG 2019.jpg,Q3099889,France,Française,9782882505682,8,16,2020,2020-08-16T00:00:00Z,8,18,2020,2020-08-18T00:00:00Z,2,F,Ebook,160,Noir sur blanc
Situer le numérique,,Gauthier Roussilhe,,Q122168615,,Française,,12,10,2020,2020-12-10T00:00:00Z,12,13,2020,2020-12-13T00:00:00Z,3,M,Ebook,,
L’invention de la mémoire,,Georges Chapoutier,,,,Française,9782271089335,10,23,2020,2020-10-23T00:00:00Z,11,1,2020,2020-11-01T00:00:00Z,9,M,Ebook,300,CNRS édition
La Ferme des animaux,Q1396889,George Orwell,"George Orwell, c. 1940 (41928180381).jpg",Q3335,Royaume-Uni,Britannique,9782377291168,1,31,2022,2022-01-31T00:00:00Z,2,5,2022,2022-02-05T00:00:00Z,5,M,Broché,168,Libertalia
La privatisation numérique,,Gilles Jeannot et Simon Cottin-Marx,,,,Française,9791097084240,5,17,2022,2022-05-17T00:00:00Z,5,22,2022,2022-05-22T00:00:00Z,5,M,Broché,160,Raisons d’agir
La certitude du doute,,Goliarda Sapienza,Goliarda Sapienza.jpg,Q1587727,Italie,Italienne,9782370550453,6,30,2022,2022-06-30T00:00:00Z,7,4,2022,2022-07-04T00:00:00Z,4,F,Broché,240,Le Tripode
L'Art de la joie,Q17354844,Goliarda Sapienza,Goliarda Sapienza.jpg,Q1587727,Italie,Italienne,9782370550446,1,2,2021,2021-01-02T00:00:00Z,2,2,2021,2021-02-02T00:00:00Z,31,F,Ebook,640,Le Tripode
Les certitudes du doute,Q28671007,Goliarda Sapienza,Goliarda Sapienza.jpg,Q1587727,Italie,Italienne,9782370550453,1,30,2020,2020-01-30T00:00:00Z,2,8,2020,2020-02-08T00:00:00Z,9,F,Broché,240,Le Tripode
Le fil de midi,,Goliarda Sapienza,Goliarda Sapienza.jpg,Q1587727,Italie,Italienne,9782370553355,2,7,2023,2023-02-07T00:00:00Z,2,11,2023,2023-02-11T00:00:00Z,4,F,Broché,253,Le Tripode
Lettre ouverte,Q28671643,Goliarda Sapienza,Goliarda Sapienza.jpg,Q1587727,Italie,Italienne,9782370552402,2,11,2023,2023-02-11T00:00:00Z,2,16,2023,2023-02-16T00:00:00Z,5,F,Broché,238,Le Tripode
Dirty Week-end,,Helen Zahavi,,Q952749,Royaume-Uni,Britannique,9782369147091,7,23,2023,2023-07-23T00:00:00Z,7,27,2023,2023-07-27T00:00:00Z,4,F,Ebook,224,Libretto
